observation_id,split,window_index,source_file,file_id,fault_label,fault_type,fault_size,load_hp,rpm,sampling_rate,sensor_location
cwru_097_w0000_train,train,0,97.mat,97,0,Normal,0.0,0,1797,12000,DE
cwru_097_w0001_train,train,1,97.mat,97,0,Normal,0.0,0,1797,12000,DE
cwru_097_w0002_train,train,2,97.mat,97,0,Normal,0.0,0,1797,12000,DE
cwru_097_w0003_train,train,3,97.mat,97,0,Normal,0.0,0,1797,12000,DE
cwru_097_w0004_train,train,4,97.mat,97,0,Normal,0.0,0,1797,12000,DE
cwru_097_w0005_train,train,5,97.mat,97,0,Normal,0.0,0,1797,12000,DE
cwru_097_w0006_train,train,6,97.mat,97,0,Normal,0.0,0,1797,12000,DE
cwru_097_w0007_train,train,7,97.mat,97,0,Normal,0.0,0,1797,12000,DE
cwru_097_w0008_train,train,8,97.mat,97,0,Normal,0.0,0,1797,12000,DE
cwru_097_w0009_train,train,9,97.mat,97,0,Normal,0.0,0,1797,12000,DE
cwru_097_w0010_train,train,10,97.mat,97,0,Normal,0.0,0,1797,12000,DE
cwru_097_w0011_train,train,11,97.mat,97,0,Normal,0.0,0,1797,12000,DE
cwru_097_w0012_train,train,12,97.mat,97,0,Normal,0.0,0,1797,12000,DE
cwru_097_w0013_train,train,13,97.mat,97,0,Normal,0.0,0,1797,12000,DE
cwru_097_w0014_train,train,14,97.mat,97,0,Normal,0.0,0,1797,12000,DE
cwru_097_w0015_train,train,15,97.mat,97,0,Normal,0.0,0,1797,12000,DE
cwru_097_w0016_train,train,16,97.mat,97,0,Normal,0.0,0,1797,12000,DE
cwru_097_w0017_train,train,17,97.mat,97,0,Normal,0.0,0,1797,12000,DE
cwru_097_w0018_train,train,18,97.mat,97,0,Normal,0.0,0,1797,12000,DE
cwru_097_w0019_train,train,19,97.mat,97,0,Normal,0.0,0,1797,12000,DE
cwru_097_w0020_train,train,20,97.mat,97,0,Normal,0.0,0,1797,12000,DE
cwru_097_w0021_train,train,21,97.mat,97,0,Normal,0.0,0,1797,12000,DE
cwru_097_w0022_train,train,22,97.mat,97,0,Normal,0.0,0,1797,12000,DE
cwru_097_w0023_train,train,23,97.mat,97,0,Normal,0.0,0,1797,12000,DE
