fusion_config,split,n,n_relevance_defined,n_relevance_undefined,n_unavailable_for_this_configuration,DISCARD_count,DISCARD_pct,BUFFER_count,BUFFER_pct,SUMMARY_count,SUMMARY_pct,TRANSMIT_count,TRANSMIT_pct,UNDEFINED_RELEVANCE_count,UNDEFINED_RELEVANCE_pct
vibration_current,train,33725,11699,22026,4525,5707,16.9222,1099,3.2587,4856,14.3988,37,0.1097,22026,65.3106
vibration_current,val,8244,1796,6448,756,1047,12.7001,544,6.5987,205,2.4867,0,0.0,6448,78.2145
vibration_current,test,7495,3,7492,1505,3,0.04,0,0.0,0,0.0,0,0.0,7492,99.96
vibration_current_temperature,train,33725,11953,21772,4525,5961,17.6753,1261,3.7391,4724,14.0074,7,0.0208,21772,64.5574
vibration_current_temperature,val,8244,750,7494,756,1,0.0121,686,8.3212,63,0.7642,0,0.0,7494,90.9025
vibration_current_temperature,test,7495,0,7495,1505,0,0.0,0,0.0,0,0.0,0,0.0,7495,100.0
vibration_only,train,38250,16570,21680,0,6070,15.8693,3444,9.0039,7016,18.3425,40,0.1046,21680,56.6797
vibration_only,val,9000,2841,6159,0,1341,14.9,745,8.2778,748,8.3111,7,0.0778,6159,68.4333
vibration_only,test,9000,1571,7429,0,6,0.0667,816,9.0667,746,8.2889,3,0.0333,7429,82.5444
vibration_temperature,train,38219,16760,21459,31,6274,16.4159,4242,11.0992,6239,16.3243,5,0.0131,21459,56.1475
vibration_temperature,val,8993,2346,6647,7,848,9.4296,749,8.3287,749,8.3287,0,0.0,6647,73.913
vibration_temperature,test,8993,1500,7493,7,2,0.0222,750,8.3398,746,8.2953,2,0.0222,7493,83.3204
