fusion_config,split,n_valid,novelty_mean_contribution,novelty_share_of_positive_contribution_pct,novelty_corr_with_voi_score,uncertainty_mean_contribution,uncertainty_share_of_positive_contribution_pct,uncertainty_corr_with_voi_score,task_relevance_mean_contribution,task_relevance_share_of_positive_contribution_pct,task_relevance_corr_with_voi_score,temporal_importance_mean_contribution,temporal_importance_share_of_positive_contribution_pct,temporal_importance_corr_with_voi_score,resource_cost_mean_contribution,resource_cost_corr_with_voi_score
vibration_current,train,11699,0.12914210046250338,35.2146,0.9811140572192203,0.0016632186130807359,0.4535,-0.32472572770052616,0.1963368666532552,53.5374,0.9853966591479044,0.03958646019061587,10.7945,0.041166479989439515,-0.050491517782211295,
vibration_current,val,1796,0.08765746897339555,30.6316,0.9975341183208604,0.008713315278976935,3.0448,-0.8972928092617083,0.1663669268073792,58.1363,0.9978288190012631,0.02342910403582808,8.1872,0.31177964145918396,-0.05049151778221128,
vibration_current,test,3,0.030964213609695423,26.1126,-0.2617463156236059,0.02098518908023834,17.6971,0.2770927007781269,0.03500000052154063,29.516,,0.031630269189675646,26.6743,0.9995053108141132,-0.05049151778221131,
vibration_current_temperature,train,11953,0.12749384578307002,36.474,0.9857128144580185,0.0016208213867498261,0.4637,-0.29622211132115145,0.19290847511996184,55.1881,0.9898018494943039,0.02752405575531984,7.8742,0.04441892919603286,-0.05049151778221129,
vibration_current_temperature,val,750,0.1657390960752964,31.0354,0.7865310632130453,3.4190075613959862e-06,0.0006,-0.8250447183162111,0.3495800000006954,65.4605,0.825044718316211,0.01870982118844985,3.5035,0.4089726124073718,-0.050491517782211295,
vibration_current_temperature,test,0,,,,,,,,,,,,,,
vibration_only,train,16570,0.1218468043505191,31.3881,0.9467676443467903,0.0017218280657156884,0.4435,-0.4025691726086693,0.2251025929761512,57.9872,0.9631916677579183,0.039522489918576854,10.1811,0.34642275921838994,-0.05049151778221129,
vibration_only,val,2841,0.10944323385372332,32.1741,0.9548661689224158,0.006517229509536373,1.9159,-0.8921258153334771,0.1920749716441036,56.4661,0.9616041936744952,0.032124464722223696,9.4439,0.6148442089636414,-0.05049151778221129,
vibration_only,test,1571,0.15116218445996887,29.2085,0.940150291266235,0.0006644373388437825,0.1284,-0.2206450763083204,0.31537873169074077,60.9395,0.16312671034366522,0.05032218614626346,9.7236,0.668445007523319,-0.05049151778221129,
vibration_temperature,train,16760,0.12053312356925379,32.13,0.9381272871538477,0.0015109738479175809,0.4028,-0.3618935087855344,0.2226968953324157,59.3633,0.9649602363498533,0.030401558952857816,8.104,0.23021840802592647,-0.05049151778221129,
vibration_temperature,val,2346,0.13120007267093187,33.7143,0.926652001263132,0.005235120262789032,1.3453,-0.8692826807731986,0.2249637656402913,57.8087,0.9540431970093679,0.0277530771920351,7.1317,0.4735112458424112,-0.050491517782211295,
vibration_temperature,test,1500,0.1602739866286516,31.2803,0.9688281619724673,2.8369303214484752e-05,0.0055,-0.14078680323101256,0.3146266583338379,61.405,0.14079236884047497,0.03745061293598264,7.3092,0.6417742528329297,-0.05049151778221128,
