fusion_config,split,n,novelty_n,novelty_mean,novelty_median,novelty_std,novelty_min,novelty_max,uncertainty_n,uncertainty_mean,uncertainty_median,uncertainty_std,uncertainty_min,uncertainty_max,temporal_importance_n,temporal_importance_mean,temporal_importance_median,temporal_importance_std,temporal_importance_min,temporal_importance_max,resource_cost_n,resource_cost_mean,resource_cost_median,resource_cost_std,resource_cost_min,resource_cost_max,task_relevance_n,task_relevance_mean,task_relevance_median,task_relevance_std,task_relevance_min,task_relevance_max,raw_voi_score_n,raw_voi_score_mean,raw_voi_score_median,raw_voi_score_std,raw_voi_score_min,raw_voi_score_max,voi_score_n,voi_score_mean,voi_score_median,voi_score_std,voi_score_min,voi_score_max
vibration_current,train,33725,33725,0.22395111056304282,0.1095654964447021,0.2594664158279326,0.0,1.0,33725,0.053809699812051144,0.0001020182171487,0.11962489155803938,6.867247742681215e-11,0.4777044355869293,33725,0.11627085051606315,0.0828472524881362,0.11196250328637038,0.0,1.0,33725,0.504915177822113,0.504915177822113,0.0,0.504915177822113,0.504915177822113,11699,0.5609624761521577,1.0,0.4498856786346225,0.1000000014901161,1.0,11699,0.31623712813724386,0.4712532259558205,0.2599688824177279,-0.0101467849788491,0.7995084822212223,11699,0.31624270669997223,0.4712532259558205,0.25996203633592846,0.0,0.7995084822212223
vibration_current,val,8244,8244,0.17180154027488698,0.1348092854022979,0.12295316791073402,0.071781538426876,0.5910426378250122,8244,0.04840868695051811,5.295837354424293e-06,0.11622358916174769,6.867247742681215e-11,0.4873974621295929,8244,0.09333807894633447,0.07901881635189055,0.061689315991702805,0.0,0.4424512982368469,8244,0.504915177822113,0.504915177822113,0.0,0.504915177822113,0.504915177822113,1796,0.47533407659251203,0.1000000014901161,0.4438859162220445,0.1000000014901161,1.0,1796,0.23567529731336845,0.06749382428824896,0.21823511939492152,0.0273304857313632,0.5582060158287052,1796,0.23567529731336845,0.06749382428824896,0.21823511939492152,0.0273304857313632,0.5582060158287052
vibration_current,test,7495,7495,0.12494948412216528,0.1114758998155593,0.027190789719521997,0.0942583233118057,0.2037554681301117,7495,0.014766124154857042,0.0001992089237319,0.0503109165913203,2.881253569064768e-10,0.4309759736061096,7495,0.08118623951658122,0.0686134621500969,0.05553340505649634,0.0,0.4089520275592804,7495,0.504915177822113,0.504915177822113,0.0,0.504915177822113,0.504915177822113,3,0.1000000014901161,0.1000000014901161,0.0,0.1000000014901161,0.1000000014901161,3,0.06808815461893873,0.063189098611474,0.01038707931780896,0.0610566038638353,0.0800187613815069,3,0.06808815461893873,0.063189098611474,0.01038707931780896,0.0610566038638353,0.0800187613815069
vibration_current_temperature,train,33725,33725,0.23654069319844462,0.119567759335041,0.2537776161484467,0.0,1.0,33725,0.04093918875541754,2.090333327942062e-05,0.10424387068081097,6.867247742681215e-11,0.4340428709983825,33725,0.08701498058229666,0.0642341002821922,0.07847546812198641,0.0,0.7600363492965698,33725,0.504915177822113,0.504915177822113,0.0,0.504915177822113,0.504915177822113,11953,0.5511670717713195,1.0,0.4500173107023054,0.1000000014901161,1.0,11953,0.2990556802628902,0.4699642572586302,0.2595414360828894,-0.0095491799507449,0.7460117042099003,11953,0.29906058803841984,0.4699642572586302,0.25953573655432305,0.0,0.7460117042099003
vibration_current_temperature,val,8244,8244,0.2169368991068863,0.18954814970493317,0.11592428605177423,0.0813907533884048,0.59275221824646,8244,0.026945928432305238,1.9195937284166575e-06,0.08773423996984918,6.867247742681215e-11,0.5169699192047119,8244,0.06792987938389661,0.05732885934412475,0.043936754085506284,0.0,0.3296959996223449,8244,0.504915177822113,0.504915177822113,0.0,0.504915177822113,0.504915177822113,750,0.9988000000019869,1.0,0.03286335339589862,0.1000000014901161,1.0,750,0.4835408184897917,0.48242866546258956,0.018503657375391135,0.0660121960565447,0.5292991578613285,750,0.4835408184897917,0.48242866546258956,0.018503657375391135,0.0660121960565447,0.5292991578613285
vibration_current_temperature,test,7495,7495,0.1586422733122544,0.1232082173228263,0.05864732645055113,0.1009799018502235,0.2913309931755066,7495,0.007286404552941154,1.8720109437708743e-05,0.025786788467310938,2.3148812033912947e-10,0.3890922665596008,7495,0.06228674711299816,0.0517385564744472,0.042843211877627324,0.0,0.2913341224193573,7495,0.504915177822113,0.504915177822113,0.0,0.504915177822113,0.504915177822113,0,,,,,,0,,,,,,0,,,,,
vibration_only,train,38250,38250,0.21271282471792227,0.06477518752217284,0.2712010999978035,0.0,1.0,38250,0.050466558435096585,0.00022580673248735,0.11576291659672867,6.867247742681215e-11,0.4308254420757293,38250,0.1253166044927019,0.0890574380755424,0.12130202521557938,0.0,1.0,38250,0.504915177822113,0.504915177822113,0.0,0.504915177822113,0.504915177822113,16570,0.6431502656461463,0.8999999761581421,0.4148582876237135,0.1000000014901161,1.0,16570,0.3377021975287515,0.455449583384848,0.2390610911768461,-0.0116327503280444,0.7551155567203526,16570,0.3377256036859703,0.455449583384848,0.23902776222564664,0.0,0.7551155567203526
vibration_only,val,9000,9000,0.1771131451254089,0.0888209231197834,0.2230965631802834,0.0469463281333446,0.9177002310752868,9000,0.04619408269015937,2.529648190829903e-05,0.11032552528009962,6.867247742681215e-11,0.4844310879707336,9000,0.10666027394446746,0.0799409970641136,0.10103207037917149,0.0,1.0,9000,0.504915177822113,0.504915177822113,0.0,0.504915177822113,0.504915177822113,2841,0.5487856332688674,0.8999999761581421,0.4259613386295465,0.1000000014901161,1.0,2841,0.28966838194737565,0.4422394186292652,0.24748947195863916,0.0132899839431047,0.7398185431991581,2841,0.28966838194737565,0.4422394186292652,0.24748947195863916,0.0132899839431047,0.7398185431991581
vibration_only,test,9000,9000,0.14986264037754796,0.0791954323649406,0.20505282159933977,0.0452766008675098,0.8917616009712219,9000,0.02434923229411975,0.0006431794608942501,0.06850158049106206,6.867247742681215e-11,0.4309343993663788,9000,0.11002547197451344,0.0781311728060245,0.11091309807024595,0.0,1.0,9000,0.504915177822113,0.504915177822113,0.0,0.504915177822113,0.504915177822113,1571,0.9010820905449738,0.8999999761581421,0.053466820894808864,0.1000000014901161,1.0,1571,0.4670360218536056,0.4163913577845124,0.1080104594838097,0.0350672755390405,0.7287905156646731,1571,0.4670360218536056,0.4163913577845124,0.1080104594838097,0.0350672755390405,0.7287905156646731
vibration_temperature,train,38219,38219,0.23296345987054987,0.0934814512729644,0.252463525211961,0.0,1.0,38219,0.0422076062620925,4.184972931398079e-05,0.1071909045974603,6.867247742681215e-11,0.4331428706645965,38219,0.10449829496761368,0.0784406885504722,0.0914920844994596,0.0,1.0,38219,0.504915177822113,0.504915177822113,0.0,0.504915177822113,0.504915177822113,16760,0.6362768438069021,0.8999999761581421,0.4166720367209116,0.1000000014901161,1.0,16760,0.3246510339202336,0.4451125092838768,0.2299187975805934,-0.0094425132664951,0.7496280729804997,16760,0.3246558345723198,0.4451125092838768,0.22991197519856066,0.0,0.7496280729804997
