dataset,bearing_code,bearing_type,health_state,damage_category,damage_modes,damage_components,damage_methods,operating_condition,measurement_number,modality,channel_name,channel_index,source_file,split,sampling_rate_hz,window_size,window_index,observation_id,fault_label,recording_id
paderborn,K001,6203,healthy,n/a,(),(),(),N15_M07_F10,1,vibration,vibration_1,0,N15_M07_F10_K001_1.mat,train,64000,2048,0,paderborn_K001_N15_M07_F10_m01_vibration_1_w000,0,K001_m01
paderborn,K001,6203,healthy,n/a,(),(),(),N15_M07_F10,1,vibration,vibration_1,0,N15_M07_F10_K001_1.mat,train,64000,2048,1,paderborn_K001_N15_M07_F10_m01_vibration_1_w001,0,K001_m01
paderborn,K001,6203,healthy,n/a,(),(),(),N15_M07_F10,1,vibration,vibration_1,0,N15_M07_F10_K001_1.mat,train,64000,2048,2,paderborn_K001_N15_M07_F10_m01_vibration_1_w002,0,K001_m01
paderborn,K001,6203,healthy,n/a,(),(),(),N15_M07_F10,1,vibration,vibration_1,0,N15_M07_F10_K001_1.mat,train,64000,2048,3,paderborn_K001_N15_M07_F10_m01_vibration_1_w003,0,K001_m01
paderborn,K001,6203,healthy,n/a,(),(),(),N15_M07_F10,1,vibration,vibration_1,0,N15_M07_F10_K001_1.mat,train,64000,2048,4,paderborn_K001_N15_M07_F10_m01_vibration_1_w004,0,K001_m01
paderborn,K001,6203,healthy,n/a,(),(),(),N15_M07_F10,1,vibration,vibration_1,0,N15_M07_F10_K001_1.mat,train,64000,2048,5,paderborn_K001_N15_M07_F10_m01_vibration_1_w005,0,K001_m01
paderborn,K001,6203,healthy,n/a,(),(),(),N15_M07_F10,1,vibration,vibration_1,0,N15_M07_F10_K001_1.mat,train,64000,2048,6,paderborn_K001_N15_M07_F10_m01_vibration_1_w006,0,K001_m01
paderborn,K001,6203,healthy,n/a,(),(),(),N15_M07_F10,1,vibration,vibration_1,0,N15_M07_F10_K001_1.mat,train,64000,2048,7,paderborn_K001_N15_M07_F10_m01_vibration_1_w007,0,K001_m01
paderborn,K001,6203,healthy,n/a,(),(),(),N15_M07_F10,1,vibration,vibration_1,0,N15_M07_F10_K001_1.mat,train,64000,2048,8,paderborn_K001_N15_M07_F10_m01_vibration_1_w008,0,K001_m01
paderborn,K001,6203,healthy,n/a,(),(),(),N15_M07_F10,1,vibration,vibration_1,0,N15_M07_F10_K001_1.mat,train,64000,2048,9,paderborn_K001_N15_M07_F10_m01_vibration_1_w009,0,K001_m01
