observation_id,true_label,novelty_score
0,Normal,0.80914515
1,Normal,0.33598408
2,Normal,0.41683233
3,Normal,0.13121273
4,Normal,0.29688534
5,Normal,0.09609012
6,Normal,0.26971504
7,Normal,0.5937707
8,Normal,0.1332008
9,Normal,0.13055003
10,Normal,0.15175612
11,Normal,0.54804504
12,Normal,0.21338634
13,Normal,0.23194169
14,Normal,0.19151756
15,Normal,0.15109344
16,Normal,0.62690526
17,Normal,0.91385025
18,Normal,0.4062293
19,Normal,0.71835655
20,Normal,0.08813784
21,Normal,0.81577206
22,Normal,0.16898608
23,Normal,0.14247847
24,Normal,0.21007289
25,Normal,0.091451295
26,Normal,0.871438
27,Normal,0.15175612
28,Normal,0.37640822
29,Normal,0.952949
30,Normal,0.12723657
31,Normal,0.28561962
32,Normal,0.105367795
33,Normal,0.61829025
34,Normal,0.17362492
35,Normal,0.612326
36,Normal,0.25579855
37,Normal,0.65473825
38,Normal,0.32538104
39,Normal,0.17627569
40,Normal,0.45990723
41,Normal,0.47713718
42,Normal,0.07090788
43,Normal,0.4479788
44,Normal,0.39562625
45,Normal,0.33996025
46,Normal,0.20212062
47,Normal,0.71835655
48,Normal,0.42544731
49,Normal,0.09476475
50,Normal,0.3280318
51,Normal,0.056328695
52,Normal,0.124585815
53,Normal,0.62756795
54,Normal,0.12259775
55,Normal,0.28230616
56,Normal,0.11133201
57,Normal,0.31742877
58,Ball Fault,0.8078197
59,Ball Fault,0.4764745
60,Ball Fault,0.90457255
61,Ball Fault,0.71106696
62,Ball Fault,0.51358515
63,Ball Fault,0.44665343
64,Ball Fault,0.2935719
65,Ball Fault,0.9867462
66,Ball Fault,0.9628893
67,Ball Fault,0.85023195
68,Ball Fault,0.71835655
69,Ball Fault,0.6500994
70,Ball Fault,0.1332008
71,Ball Fault,0.77335984
72,Ball Fault,0.47713718
73,Ball Fault,0.3717694
74,Ball Fault,0.70907885
75,Ball Fault,0.8595096
76,Ball Fault,0.62094104
77,Ball Fault,0.9536117
78,Ball Fault,0.95427436
79,Ball Fault,0.86282307
80,Ball Fault,0.9761431
81,Ball Fault,0.8011928
82,Ball Fault,0.7070908
83,Ball Fault,0.78926444
84,Ball Fault,0.54009277
85,Ball Fault,0.9628893
86,Ball Fault,0.7985421
87,Ball Fault,0.8946322
88,Ball Fault,0.6898608
89,Ball Fault,0.54141814
90,Ball Fault,0.509609
91,Ball Fault,0.9920477
92,Ball Fault,0.8316766
93,Ball Fault,0.81577206
94,Ball Fault,0.9297548
95,Ball Fault,0.90457255
96,Ball Fault,0.16235918
97,Ball Fault,0.48508945
98,Ball Fault,0.9662028
99,Ball Fault,0.509609
100,Ball Fault,0.25314778
101,Ball Fault,0.84029156
102,Ball Fault,0.952949
103,Ball Fault,0.7329357
104,Ball Fault,0.8111332
105,Ball Fault,0.9867462
106,Ball Fault,0.96819085
107,Ball Fault,0.97548044
108,Ball Fault,0.82239896
109,Ball Fault,0.45129225
110,Ball Fault,0.54937047
111,Ball Fault,0.55666006
112,Ball Fault,0.25513586
113,Ball Fault,0.8727634
114,Ball Fault,0.52352554
115,Ball Fault,0.35387674
116,Ball Fault,0.5785288
117,Ball Fault,0.6998012
118,Ball Fault,0.5036448
119,Ball Fault,0.7647449
120,Ball Fault,0.9436713
121,Ball Fault,0.6461233
122,Ball Fault,0.6739563
123,Ball Fault,0.63817096
124,Ball Fault,0.1471173
125,Ball Fault,0.73691183
126,Ball Fault,0.8860172
127,Ball Fault,0.57654077
128,Ball Fault,0.6090126
129,Ball Fault,0.9012591
130,Ball Fault,0.8257124
131,Ball Fault,0.54738235
132,Ball Fault,0.62491715
133,Ball Fault,0.62491715
134,Ball Fault,0.8515573
135,Ball Fault,0.26507622
136,Ball Fault,0.7137177
137,Ball Fault,0.3280318
138,Ball Fault,0.8721007
139,Ball Fault,0.39562625
140,Ball Fault,0.6096753
141,Ball Fault,0.84360504
142,Ball Fault,0.9536117
143,Ball Fault,0.9648774
144,Ball Fault,0.5805169
145,Ball Fault,0.51623595
146,Ball Fault,0.80649436
147,Ball Fault,0.9430086
148,Ball Fault,0.9628893
149,Ball Fault,0.935719
150,Ball Fault,0.92113984
151,Ball Fault,0.8727634
152,Ball Fault,0.6706428
