observation_id,predicted_class,true_label,prob_normal,prob_ball_fault,prob_inner_race_fault,prob_outer_race_fault,uncertainty_score
0,Normal,Normal,0.9999958,7.8001045e-07,3.3528208e-06,4.1998462e-09,4.146885e-05
1,Normal,Normal,0.999995,1.1035152e-06,3.875715e-06,4.272397e-09,4.942707e-05
2,Normal,Normal,0.9999951,9.617399e-07,3.928217e-06,4.3530832e-09,4.8468504e-05
3,Normal,Normal,0.99999535,1.0309594e-06,3.5915316e-06,2.8631004e-09,4.612589e-05
4,Normal,Normal,0.99999523,9.854789e-07,3.764348e-06,4.0615618e-09,4.7242935e-05
5,Normal,Normal,0.99999523,1.0098345e-06,3.7370278e-06,3.4866974e-09,4.723399e-05
6,Normal,Normal,0.9999945,1.130339e-06,4.3449704e-06,4.35627e-09,5.387769e-05
7,Normal,Normal,0.9999956,1.0285722e-06,3.283762e-06,2.1752011e-09,4.3351465e-05
8,Normal,Normal,0.9999949,1.1529258e-06,3.9143165e-06,3.5943513e-09,5.027555e-05
9,Normal,Normal,0.99999535,9.550479e-07,3.6766987e-06,3.7835766e-09,4.6144076e-05
10,Normal,Normal,0.99999547,9.819414e-07,3.6092115e-06,3.7070218e-09,4.5745364e-05
11,Normal,Normal,0.99999535,8.9648825e-07,3.7118664e-06,4.7425646e-09,4.5904057e-05
12,Normal,Normal,0.999995,1.0177883e-06,3.952138e-06,4.2215267e-09,4.9268794e-05
13,Normal,Normal,0.99999464,1.2584918e-06,4.0286327e-06,2.8954554e-09,5.2342926e-05
14,Normal,Normal,0.999995,1.0738614e-06,3.899049e-06,3.8403587e-09,4.93419e-05
15,Normal,Normal,0.99999404,1.2851681e-06,4.5949428e-06,3.9829695e-09,5.7667905e-05
16,Normal,Normal,0.99999523,9.264677e-07,3.815352e-06,5.0268145e-09,4.7130652e-05
17,Normal,Normal,0.99999523,8.63917e-07,3.9684887e-06,5.9260175e-09,4.7824644e-05
18,Normal,Normal,0.9999943,1.4054636e-06,4.2562997e-06,3.136877e-09,5.5803735e-05
19,Normal,Normal,0.9999956,8.4453586e-07,3.5657042e-06,4.6988693e-09,4.403102e-05
20,Normal,Normal,0.9999945,1.1775433e-06,4.253465e-06,3.904414e-09,5.3553587e-05
21,Normal,Normal,0.99999547,1.1693928e-06,3.309624e-06,2.064646e-09,4.4945053e-05
22,Normal,Normal,0.999995,1.1088912e-06,3.92661e-06,3.2770353e-09,4.9883693e-05
23,Normal,Normal,0.99999535,1.0919601e-06,3.5588646e-06,2.742923e-09,4.64136e-05
24,Normal,Normal,0.99999535,9.487984e-07,3.6824817e-06,3.9363988e-09,4.6136134e-05
25,Normal,Normal,0.999995,1.1154482e-06,3.9850497e-06,3.650864e-09,5.0431056e-05
26,Normal,Normal,0.9999962,7.1503723e-07,3.104046e-06,4.189391e-09,3.8506943e-05
27,Normal,Normal,0.9999951,1.0134368e-06,3.7638558e-06,3.6699452e-09,4.7578116e-05
28,Normal,Normal,0.9999944,1.3258527e-06,4.25385e-06,3.357633e-09,5.498254e-05
29,Normal,Normal,0.99999595,7.279691e-07,3.3461865e-06,4.7464317e-09,4.0842802e-05
30,Normal,Normal,0.9999956,9.890202e-07,3.466823e-06,2.6586946e-09,4.4524317e-05
31,Normal,Normal,0.999995,1.2230585e-06,3.839515e-06,2.731379e-09,5.019924e-05
32,Normal,Normal,0.99999535,1.0126873e-06,3.6013166e-06,3.3328797e-09,4.604498e-05
33,Normal,Normal,0.9999944,1.4412653e-06,4.1662097e-06,2.7362737e-09,5.529481e-05
34,Normal,Normal,0.99999464,1.2715135e-06,4.032211e-06,3.2918623e-09,5.24959e-05
35,Normal,Normal,0.999995,1.091227e-06,3.9899746e-06,3.9293235e-09,5.025317e-05
36,Normal,Normal,0.9999957,9.4917067e-07,3.369087e-06,2.6792664e-09,4.3252447e-05
37,Normal,Normal,0.99999535,8.763727e-07,3.7665031e-06,4.6577417e-09,4.6168345e-05
38,Normal,Normal,0.99999475,1.046097e-06,4.1633593e-06,4.3731374e-09,5.1443072e-05
39,Normal,Normal,0.999995,1.0888806e-06,3.929e-06,3.7019399e-09,4.972546e-05
40,Normal,Normal,0.9999949,1.251912e-06,3.8126154e-06,2.5435998e-09,5.0322356e-05
41,Normal,Normal,0.9999958,8.456491e-07,3.3436854e-06,3.4734309e-09,4.1999352e-05
42,Normal,Normal,0.9999949,1.1403516e-06,3.939862e-06,3.5269958e-09,5.03706e-05
43,Normal,Normal,0.99999416,1.4397979e-06,4.4129247e-06,2.9015688e-09,5.747745e-05
44,Normal,Normal,0.99999523,1.0461654e-06,3.6393085e-06,3.5455454e-09,4.675855e-05
45,Normal,Normal,0.9999951,9.636036e-07,3.8824373e-06,4.4644044e-09,4.810903e-05
46,Normal,Normal,0.9999944,1.1406904e-06,4.3732925e-06,4.515019e-09,5.4292257e-05
47,Normal,Normal,0.99999547,8.66024e-07,3.713779e-06,4.963648e-09,4.555243e-05
48,Normal,Normal,0.99999535,9.817231e-07,3.6634685e-06,4.177355e-09,4.6286612e-05
